#================================================================================================
#x               y               Psi             Res_Psi         Xi              Res_Xi
#================================================================================================
0.03125         0.25            0.0550576       0.000127198     0.452021        0.000898675     
0.03125         0.265625        0.0632031       0.000141177     0.449577        0.000843012     
0.03125         0.28125         0.0721812       0.000155878     0.440191        0.000778951     
0.03125         0.296875        0.0820065       0.000171202     0.424554        0.000709899     
0.03125         0.3125          0.0926826       0.000187031     0.40368         0.000639137     
0.03125         0.328125        0.104203        0.000203233     0.37877         0.000569521     
0.03125         0.34375         0.116553        0.000219663     0.351089        0.000503311     
0.03125         0.359375        0.129708        0.000236172     0.321848        0.000442093     
0.03125         0.375           0.143639        0.000252604     0.292123        0.000386817     
0.03125         0.390625        0.158314        0.000268806     0.262806        0.00033788      
0.03125         0.40625         0.173695        0.000284623     0.234589        0.000295249     
0.03125         0.421875        0.189743        0.000299909     0.207971        0.000258584     
0.03125         0.4375          0.206419        0.000314517     0.183272        0.000227354     
0.03125         0.453125        0.223683        0.000328312     0.160671        0.000200924     
0.03125         0.46875         0.241498        0.000341164     0.140226        0.000178633     
0.03125         0.484375        0.259825        0.000352951     0.121911        0.000159834     
0.03125         0.5             0.278628        0.000363563     0.10564         0.000143934     
0.03125         0.515625        0.297874        0.000372898     0.0912824       0.000130404     
0.03125         0.53125         0.317529        0.000380862     0.0786881       0.000118791     
0.03125         0.546875        0.337565        0.000387376     0.0676947       0.000108715     
0.03125         0.5625          0.357951        0.000392368     0.0581384       9.98644e-05     
0.03125         0.578125        0.378662        0.000395779     0.0498604       9.19898e-05     
0.03125         0.59375         0.399672        0.000397561     0.0427106       8.48946e-05     
0.03125         0.609375        0.42096         0.000397677     0.0365505       7.84266e-05     
0.03125         0.625           0.442503        0.000396102     0.0312538       7.24702e-05     
0.03125         0.640625        0.464281        0.000392821     0.0267071       6.69388e-05     
0.03125         0.65625         0.486277        0.000387832     0.0228095       6.17687e-05     
0.03125         0.671875        0.508473        0.000381143     0.019472        5.69131e-05     
0.03125         0.6875          0.530854        0.000372774     0.0166165       5.23384e-05     
0.03125         0.703125        0.553404        0.000362755     0.0141747       4.80201e-05     
0.03125         0.71875         0.57611         0.000351126     0.0120876       4.39401e-05     
0.03125         0.734375        0.598959        0.000337939     0.0103038       4.00845e-05     
0.03125         0.75            0.621939        0.000323252     0.00877924      3.64421e-05     
0.03125         0.765625        0.645039        0.000307137     0.00747575      3.3003e-05      
0.03125         0.78125         0.668249        0.00028967      0.00636058      2.9758e-05      
0.03125         0.796875        0.691558        0.000270938     0.00540559      2.66976e-05     
0.03125         0.8125          0.714958        0.000251035     0.00458662      2.38121e-05     
0.03125         0.828125        0.73844         0.00023006      0.00388291      2.10911e-05     
0.03125         0.84375         0.761995        0.000208121     0.00327661      1.85235e-05     
0.03125         0.859375        0.785616        0.000185328     0.00275237      1.60975e-05     
0.03125         0.875           0.809295        0.000161799     0.00229691      1.38005e-05     
0.03125         0.890625        0.833025        0.000137653     0.00189873      1.16193e-05     
0.03125         0.90625         0.856798        0.000113015     0.00154781      9.54032e-06     
0.03125         0.921875        0.880609        8.80099e-05     0.00123533      7.54922e-06     
0.03125         0.9375          0.904451        6.27653e-05     0.000953473     5.63151e-06     
0.03125         0.953125        0.928317        3.74094e-05     0.000695222     3.77232e-06     
0.03125         0.96875         0.952201        1.20701e-05     0.000454158     1.95659e-06     
0.03125         0.984375        0.976098        -1.31254e-05    0.000224311     1.69059e-07     
0.03125         1               1               0.529752        0               0               

0.046875        0               0               0               0               0               
0.046875        0.015625        0.00136194      9.42022e-06     0.0466722       0.000268238     
0.046875        0.03125         0.00276378      1.31216e-05     0.0938419       0.000400573     
0.046875        0.046875        0.00424619      1.70549e-05     0.141964        0.000530783     
0.046875        0.0625          0.00585128      2.1292e-05      0.191408        0.000658196     
0.046875        0.078125        0.00762333      2.59059e-05     0.242407        0.000781788     
0.046875        0.09375         0.00960932      3.09709e-05     0.295006        0.000900126     
0.046875        0.109375        0.0118594       3.65619e-05     0.349009        0.00101134      
0.046875        0.125           0.0144273       4.27538e-05     0.403923        0.00111311      
0.046875        0.140625        0.0173699       4.96203e-05     0.458915        0.00120276      
0.046875        0.15625         0.0207474       5.72315e-05     0.512789        0.00127735      
0.046875        0.171875        0.0246223       6.56516e-05     0.563999        0.00133396      
0.046875        0.1875          0.0290582       7.49349e-05     0.610719        0.0013699       
0.046875        0.203125        0.034118        8.51221e-05     0.650967        0.0013832       
0.046875        0.21875         0.0398619       9.62359e-05     0.682805        0.00137288      
0.046875        0.234375        0.046345        0.000108277     0.704565        0.00133937      
0.046875        0.25            0.0536148       0.00012122      0.715089        0.00128458      
0.046875        0.265625        0.0617092       0.000135014     0.713915        0.00121186      
0.046875        0.28125         0.070655        0.000149581     0.701347        0.00112559      
0.046875        0.296875        0.0804667       0.000164817     0.678414        0.0010307       
0.046875        0.3125          0.0911472       0.0001806       0.646712        0.000932017     
0.046875        0.328125        0.102689        0.000196791     0.608185        0.000833847     
0.046875        0.34375         0.115073        0.00021324      0.564895        0.000739621     
0.046875        0.359375        0.128275        0.000229789     0.518829        0.000651798     
0.046875        0.375           0.142262        0.000246279     0.471755        0.000571895     
0.046875        0.390625        0.156998        0.000262551     0.425144        0.000500623     
0.046875        0.40625         0.172445        0.000278447     0.380139        0.000438057     
0.046875        0.421875        0.188562        0.000293817     0.337566        0.000383824     
0.046875        0.4375          0.205307        0.000308515     0.297968        0.000337259     
0.046875        0.453125        0.22264         0.000322403     0.261648        0.000297539     
0.046875        0.46875         0.240522        0.00033535      0.228723        0.000263786     
0.046875        0.484375        0.258914        0.000347236     0.199168        0.000235129     
0.046875        0.5             0.27778         0.000357949     0.172855        0.000210759     
0.046875        0.515625        0.297085        0.000367388     0.149591        0.000189946     
0.046875        0.53125         0.316797        0.00037546      0.129144        0.000172054     
0.046875        0.546875        0.336885        0.000382086     0.111263        0.000156543     
0.046875        0.5625          0.357321        0.000387194     0.0956901       0.000142965     
0.046875        0.578125        0.378079        0.000390727     0.0821761       0.000130952     
0.046875        0.59375         0.399133        0.000392636     0.0704837       0.00012021      
0.046875        0.609375        0.420461        0.000392885     0.0603928       0.000110504     
0.046875        0.625           0.442042        0.000391449     0.0517023       0.000101653     
0.046875        0.640625        0.463856        0.000388313     0.0442308       9.35143e-05     
0.046875        0.65625         0.485884        0.000383477     0.0378165       8.59812e-05     
0.046875        0.671875        0.508111        0.000376947     0.032316        7.89712e-05     
0.046875        0.6875          0.53052         0.000368744     0.0276035       7.24218e-05     
0.046875        0.703125        0.553096        0.000358898     0.0235687       6.62857e-05     
0.046875        0.71875         0.575827        0.000347449     0.0201156       6.05258e-05     
0.046875        0.734375        0.598699        0.000334448     0.017161        5.51131e-05     
0.046875        0.75            0.621701        0.000319955     0.0146329       5.00237e-05     
0.046875        0.765625        0.644822        0.000304038     0.0124691       4.52369e-05     
0.046875        0.78125         0.668051        0.000286776     0.0106161       4.07341e-05     
0.046875        0.796875        0.691379        0.000268255     0.00902773      3.64978e-05     
0.046875        0.8125          0.714796        0.000248567     0.00766434      3.25108e-05     
0.046875        0.828125        0.738294        0.000227813     0.00649181      2.87558e-05     
0.046875        0.84375         0.761865        0.000206098     0.00548076      2.52152e-05     
0.046875        0.859375        0.785501        0.000183534     0.00460585      2.18709e-05     
0.046875        0.875           0.809194        0.000160236     0.00384516      1.87042e-05     
0.046875        0.890625        0.832937        0.000136324     0.00317968      1.56959e-05     
0.046875        0.90625         0.856724        0.000111923     0.00259278      1.28264e-05     
0.046875        0.921875        0.880548        8.71554e-05     0.00206986      1.00756e-05     
0.046875        0.9375          0.904402        6.21496e-05     0.00159793      7.42296e-06     
0.046875        0.953125        0.928281        3.70327e-05     0.00116532      4.84787e-06     
0.046875        0.96875         0.952177        1.19322e-05     0.000761338     2.32938e-06     
0.046875        0.984375        0.976086        -1.30254e-05    0.000376055     -1.53606e-07    
0.046875        1               1               0.530519        0               0               

0.0625          0               0               0               0               0               
0.0625          0.015625        0.00126182      8.62007e-06     0.0619964       0.000347641     
0.0625          0.03125         0.00256167      1.19334e-05     0.12477         0.000512314     
0.0625          0.046875        0.00393835      1.54677e-05     0.189048        0.000675501     
0.0625          0.0625          0.00543231      1.92916e-05     0.25545         0.000836766     
0.0625          0.078125        0.00708636      2.34756e-05     0.324425        0.000995198     
0.0625          0.09375         0.00894637      2.80929e-05     0.396182        0.00114932      
0.0625          0.109375        0.0110619       3.32187e-05     0.470606        0.00129701      
0.0625          0.125           0.0134865       3.89306e-05     0.547169        0.00143545      
0.0625          0.140625        0.0162781       4.53068e-05     0.624847        0.0015611       
0.0625          0.15625         0.0194986       5.24248e-05     0.702062        0.00166988      
0.0625          0.171875        0.0232134       6.03583e-05     0.776659        0.00175733      
0.0625          0.1875          0.0274901       6.91737e-05     0.845973        0.00181903      
0.0625          0.203125        0.0323964       7.89245e-05     0.906991        0.00185118      
0.0625          0.21875         0.0379981       8.96464e-05     0.956632        0.0018512       
0.0625          0.234375        0.0443558       0.000101351     0.992127        0.00181844      
0.0625          0.25            0.051522        0.000114022     1.01143         0.00175461      
0.0625          0.265625        0.0595385       0.000127611     1.01355         0.00166376      
0.0625          0.28125         0.068434        0.00014204      0.998727        0.00155188      
0.0625          0.296875        0.0782236       0.0001572       0.968387        0.00142597      
0.0625          0.3125          0.088909        0.000172962     0.924862        0.00129313      
0.0625          0.328125        0.100479        0.000189176     0.871046        0.00115968      
0.0625          0.34375         0.112914        0.000205684     0.81002         0.00103071      
0.0625          0.359375        0.126183        0.00022232      0.744742        0.000909861     
0.0625          0.375           0.14025         0.000238917     0.677828        0.000799395     
0.0625          0.390625        0.155076        0.000255309     0.611441        0.000700418     
0.0625          0.40625         0.170619        0.000271335     0.547255        0.000613133     
0.0625          0.421875        0.186834        0.000286841     0.48647         0.000537109     
0.0625          0.4375          0.20368         0.000301679     0.429874        0.000471509     
0.0625          0.453125        0.221113        0.000315708     0.377911        0.000415274     
0.0625          0.46875         0.239092        0.000328799     0.330754        0.000367257     
0.0625          0.484375        0.257578        0.00034083      0.288372        0.000326317     
0.0625          0.5             0.276535        0.000351689     0.250593        0.000291382     
0.0625          0.515625        0.295926        0.000361275     0.217147        0.000261478     
0.0625          0.53125         0.31572         0.000369497     0.18771         0.000235752     
0.0625          0.546875        0.335885        0.000376274     0.161929        0.000213471     
0.0625          0.5625          0.356393        0.000381538     0.139443        0.000194018     
0.0625          0.578125        0.377219        0.000385228     0.1199          0.000176881     
0.0625          0.59375         0.398336        0.000387299     0.102967        0.000161645     
0.0625          0.609375        0.419724        0.000387713     0.0883314       0.000147973     
0.0625          0.625           0.44136         0.000386447     0.0757083       0.000135599     
0.0625          0.640625        0.463226        0.000383487     0.0648403       0.00012431      
0.0625          0.65625         0.485303        0.00037883      0.0554969       0.000113943     
0.0625          0.671875        0.507574        0.000372486     0.0474739       0.000104368     
0.0625          0.6875          0.530025        0.000364473     0.040591        9.54844e-05     
0.0625          0.703125        0.552641        0.000354823     0.0346904       8.72133e-05     
0.0625          0.71875         0.575408        0.000343574     0.0296344       7.94926e-05     
0.0625          0.734375        0.598315        0.000330779     0.0253032       7.22722e-05     
0.0625          0.75            0.621349        0.000316497     0.0215929       6.55105e-05     
0.0625          0.765625        0.6445          0.000300796     0.0184138       5.91724e-05     
0.0625          0.78125         0.667757        0.000283755     0.0156885       5.32268e-05     
0.0625          0.796875        0.691112        0.000265459     0.01335         4.76451e-05     
0.0625          0.8125          0.714555        0.000246        0.0113408       4.24003e-05     
0.0625          0.828125        0.738077        0.000225478     0.00961132      3.74664e-05     
0.0625          0.84375         0.761671        0.000203999     0.00811868      3.28176e-05     
0.0625          0.859375        0.785329        0.000181674     0.00682593      2.84281e-05     
0.0625          0.875           0.809043        0.000158617     0.00570103      2.42717e-05     
0.0625          0.890625        0.832807        0.00013495      0.00471615      2.03223e-05     
